Cust_Id,Rating,Movie_Id
1475221,3.0,13493
1459600,4.0,4661
1358911,4.0,7937
1618915,5.0,16083
1389127,3.0,14457
2039521,3.0,6180
1671302,3.0,6760
2537976,3.0,9205
1084646,5.0,3078
567304,4.0,17189
1452454,2.0,7533
795446,3.0,11139
1612996,5.0,7779
1240006,2.0,8679
445911,3.0,3938
1056238,5.0,13123
1692632,4.0,8370
45608,4.0,12675
341396,4.0,17088
2550101,5.0,9340
2032423,4.0,16325
1381650,4.0,10344
1445515,4.0,10666
680675,5.0,7193
959968,3.0,6464
1783115,3.0,10730
1887515,2.0,17580
1945166,3.0,427
962487,5.0,8107
909164,3.0,17467
617603,5.0,5561
1752267,3.0,14003
2393206,5.0,2443
1141334,5.0,1224
104809,3.0,985
305841,5.0,241
2617841,4.0,12218
204164,3.0,1962
1926905,3.0,4488
2012438,3.0,15465
1346671,3.0,17281
12812,4.0,12158
1100551,5.0,16793
10679,3.0,2167
120379,4.0,6631
652749,4.0,12471
426198,1.0,7331
788571,4.0,15471
433185,5.0,7701
2617868,4.0,8387
1945838,3.0,16532
1399738,2.0,197
1412527,4.0,16499
2625568,2.0,13402
1543520,3.0,3917
1775696,5.0,16552
608949,2.0,17127
342454,5.0,9330
318032,4.0,11198
1430991,4.0,11490
1926928,4.0,331
2579100,3.0,9054
1880844,4.0,4912
2039272,4.0,12570
320870,5.0,6037
2477751,5.0,2851
323118,4.0,5298
2274193,5.0,831
877127,4.0,4661
190542,4.0,6037
1916232,3.0,4402
1666439,1.0,15887
2173328,3.0,8046
756405,3.0,8045
2509840,3.0,17263
79468,4.0,13412
2077127,4.0,13582
963471,5.0,4330
580226,5.0,3817
496657,5.0,2112
925128,2.0,7691
126150,4.0,13082
1986896,5.0,14218
332487,3.0,7922
2212398,2.0,7067
868943,3.0,8531
1242266,4.0,8901
1805778,4.0,16793
2490731,4.0,15631
487370,4.0,708
966158,3.0,13582
471654,5.0,2218
486017,3.0,13412
2010869,4.0,1428
1345370,1.0,10159
35824,3.0,13227
446258,4.0,3670
2564112,4.0,13384
837993,5.0,4736
1323848,2.0,16792
2637765,4.0,16181
934265,4.0,11283
679771,3.0,14410
560579,3.0,6708
950122,5.0,2782
285765,3.0,16220
2466957,1.0,11837
717131,3.0,16339
240447,3.0,11701
2561723,3.0,9433
652618,4.0,788
612111,4.0,11789
1391567,4.0,12338
802023,4.0,1102
1100845,5.0,8091
1718160,3.0,13705
1877676,5.0,14410
1915821,5.0,8904
1904478,4.0,12605
1007142,5.0,9628
2308030,5.0,3478
1059437,4.0,13359
2199237,3.0,2890
1970337,4.0,14593
556429,2.0,14541
1673744,3.0,12002
2073309,5.0,14538
60293,5.0,15070
97608,4.0,3376
835528,5.0,12299
877695,4.0,13763
1705336,4.0,17295
49037,4.0,10491
2558619,5.0,15058
1022545,5.0,6860
288140,4.0,13412
1600966,4.0,14712
22842,3.0,5243
1702389,3.0,7483
712363,5.0,443
1548866,4.0,16931
1059726,5.0,2890
2527934,3.0,10906
2542849,4.0,6134
2051499,4.0,16390
113369,1.0,3917
1275277,4.0,6829
773890,3.0,6482
106316,5.0,6287
502829,3.0,3917
1859573,3.0,15956
2251674,3.0,15755
1776697,4.0,13471
